#separator:Tab
#html:true
#deck:biohack::languages::es-en
#columns:ID	Spanish	English	SpanishExample	EnglishExample	Grammar	SortKey	Tags	Checksum
#tags column:8
biohack:es-en:0001	a	to,at	Vamos a Granada mañana.	We're going to Granada tomorrow.		a	biohack es-en letter-a	975bc3d29e45
biohack:es-en:0002	abajo	down, downstairs, below	Te espero abajo.	I'll wait for you downstairs.		abajo	biohack es-en letter-a	22ea3a71c5e6
biohack:es-en:0003	el abanico	m. fan	Las damas usan abanicos cuando hace calor.	Ladies use fans when it's hot.	masculine noun	abanico	biohack es-en letter-a noun	7bde15a9e93e
biohack:es-en:0004	abierto	open	El banco queda abierto desde las ocho hasta las dos.	The bank stays open from eight until two.		abierto	biohack es-en letter-a	715de36be91d
biohack:es-en:0005	abrazar	to embrace	Abrazó a sus parientes antes de salir.	He embraced his relatives before he left.	verb	abrazar	biohack es-en letter-a verb	827aa4c80e4a
biohack:es-en:0006	el abrazo	m. embrace, hug	Abrazos para los niños de todos nosotros.	Hugs for the children from all of us.	masculine noun	abrazo	biohack es-en letter-a noun	2c26da9a92ad
biohack:es-en:0007	el abrigo	m. overcoat	Siempre llevo un abrigo cuando hace frío.	I always wear an overcoat when it's cold.	masculine noun	abrigo	biohack es-en letter-a noun	df62a2a6b4d4
biohack:es-en:0008	abrir	to open	“Abra la boca,” dijo el dentista.	“Open your mouth,” said the dentist.	verb	abrir	biohack es-en letter-a verb	efb81811b5b3
biohack:es-en:0009	acá	here	Venga acá, rápido.	Come here quickly.		aca	biohack es-en letter-a	78e908a1222b
biohack:es-en:0010	acabar	to finish	Nuestro trabajo nunca acaba.	Our work never ends.	verb	acabar	biohack es-en letter-a verb	39f2e7dcd348
biohack:es-en:0011	la acción	f. action	Sus acciones me confunden.	His actions confuse me.	feminine noun	accion	biohack es-en letter-a noun	090c93c5237a
biohack:es-en:0012	aceptar	to accept	¿Aceptan ustedes cheques de viajero?	Do you accept traveler's checks?	verb	aceptar	biohack es-en letter-a verb	0be06a5b5a82
biohack:es-en:0013	acerca de	about	Busco un libro acerca de la España medieval.	I'm looking for a book about medieval Spain.		acerca de	biohack es-en letter-a	db98416db887
biohack:es-en:0014	acercarse	to approach	Acérquense y podrán ver mejor.	Come closer and you'll be able to see better.	verb	acercarse	biohack es-en letter-a verb	b20f7112709f
biohack:es-en:0015	acompañar	to accompany, go with	¿Me permiten acompañarlos?	Will you allow me to go with you?	verb	acompanar	biohack es-en letter-a verb	5cc9045c4f70
biohack:es-en:0016	aconsejar	to advise	¿Qué me aconsejan hacer?	What do you advise me to do?	verb	aconsejar	biohack es-en letter-a verb	805e55495019
biohack:es-en:0017	acordarse	to remember	¿Se acuerdan ustedes de nosotros?	Do you remember us?	verb	acordarse	biohack es-en letter-a verb	d118c10b14ec
biohack:es-en:0018	acostarse	to go to bed	Siempre nos acostamos tarde cuando visitamos un país extranjero.	We always go to bed late when we visit a foreign country.	verb	acostarse	biohack es-en letter-a verb	a3f92bdf3e12
biohack:es-en:0019	actual	present, current	El gobierno actual tiene muchos problemas.	The present government has many problems.		actual	biohack es-en letter-a	cfeefb0b1011
biohack:es-en:0020	el acuerdo	m. agreement	Estamos de acuerdo con usted.	We agree with you.	masculine noun	acuerdo	biohack es-en letter-a noun	27f0b0ac0dcd
biohack:es-en:0021	adelante	ahead, forward	De hoy en adelante, traten de llegar a tiempo.	From now on, try to arrive on time.		adelante	biohack es-en letter-a	1835edb67b67
biohack:es-en:0022	además	moreover, besides	No tengo tiempo para eso, y además no tengo dinero.	I have no time for that, and moreover I don't have any money.		ademas	biohack es-en letter-a	e792f4093028
biohack:es-en:0023	adentro	inside	Quiero ver lo que hay adentro.	I want to see what there is inside.		adentro	biohack es-en letter-a	83a25e0cc2a8
biohack:es-en:0024	adiós	goodbye	Adiós y buena suerte.	Goodbye and good luck.		adios	biohack es-en letter-a	5f8219c264d0
biohack:es-en:0025	adónde	where	¿Adónde van ustedes esta tarde?	Where are you going this afternoon?		adonde	biohack es-en letter-a	a7965f1d9f2f
biohack:es-en:0026	la aduana	f. customs house	Hay que pasar por la aduana al llegar.	It’s necessary to go through customs on arriving.	feminine noun	aduana	biohack es-en letter-a noun	acb05ed6d157
biohack:es-en:0027	el aeropuerto	m. airport	Hay muchas líneas aéreas en este aeropuerto.	There are many airlines in this airport.	masculine noun	aeropuerto	biohack es-en letter-a noun	7e1d3a225954
biohack:es-en:0028	afeitar(se)	to shave	Me afeito todas las mañanas.	I shave every morning.	verb	afeitar(se)	biohack es-en letter-a verb	cc308fcd4a05
biohack:es-en:0029	afuera	outside	Mire qué pasa afuera.	See what's going on outside.		afuera	biohack es-en letter-a	e397488fa903
biohack:es-en:0030	el agente	m. agent	Un agente de viajes le arreglará una excursión a Andalucía.	A travel agent will arrange an excursion to Andalusia for you.	masculine noun	agente	biohack es-en letter-a noun	18fdf5087317
biohack:es-en:0031	agradable	pleasant	Nuestra visita ha sido muy agradable.	Our visit has been very pleasant.		agradable	biohack es-en letter-a	2cc1b9754cba
biohack:es-en:0032	agradecer	to thank	Le agradezco mucho su amabilidad.	I thank you very much for your kindness.	verb	agradecer	biohack es-en letter-a verb	dbfe5957d66e
biohack:es-en:0033	el agua	f. water	Es una buena idea beber agua embotellada.	It's a good idea to drink bottled water.	feminine noun	agua	biohack es-en letter-a noun	6032501bc157
biohack:es-en:0034	aguantar	to stand (bear)	No puedo aguantar el ruido de la calle.	I can’t stand the noise from the street.	verb	aguantar	biohack es-en letter-a verb	e0320b4b4725
biohack:es-en:0035	la aguja	f. needle	Siempre traigo una aguja en caso de emergencia.	I always carry a needle in case of an emergency.	feminine noun	aguja	biohack es-en letter-a noun	eca94b5f664c
biohack:es-en:0036	ahora	now	Estoy ocupado ahora y no puedo salir.	I am busy now and can’t go out.		ahora	biohack es-en letter-a	e9a406504a19
biohack:es-en:0037	el aire	m. air	Abra la ventana y tendrá aire fresco.	Open the window and you'll have fresh air.	masculine noun	aire	biohack es-en letter-a noun	21e93aee3899
biohack:es-en:0038	al + infinitive	on, upon	Al ver lo que pasaba, decidimos salir.	Upon seeing what was happening, we decided to leave.		al + infinitive	biohack es-en letter-a	b62801341216
biohack:es-en:0039	el alcalde	m. mayor	La oficina del alcalde está en el ayuntamiento.	The mayor's office is in the city hall.	masculine noun	alcalde	biohack es-en letter-a noun	d5cedd2b2b71
biohack:es-en:0040	la alcoba	f. bedroom	Buscamos un apartamiento con dos alcobas.	We're looking for an apartment with two bedrooms.	feminine noun	alcoba	biohack es-en letter-a noun	68fcdf919341
biohack:es-en:0041	la aldea	f. village	Sugiero que visiten algunas aldeas en las montañas.	I suggest that you visit some villages in the mountains.	feminine noun	aldea	biohack es-en letter-a noun	44d7af44c6cc
biohack:es-en:0042	alegrarse	to be glad	Me alegro de verlos otra vez.	I'm glad to see you again.	verb	alegrarse	biohack es-en letter-a verb	71a9bb6f924c
