#separator:tab
#html:false
#columns:ID	Thai	English	Usage	Coach	Tags
biohack:th-en:number:00000	ศูนย์	0	number	Listen for vowel length and the tone of each syllable; replay slowly, then imitate the whole number.	numbers 0-10
biohack:th-en:number:00001	หนึ่ง	1	number	Listen for vowel length and the tone of each syllable; replay slowly, then imitate the whole number.	numbers 0-10
biohack:th-en:number:00002	สอง	2	number	Listen for vowel length and the tone of each syllable; replay slowly, then imitate the whole number.	numbers 0-10
biohack:th-en:number:00003	สาม	3	number	Listen for vowel length and the tone of each syllable; replay slowly, then imitate the whole number.	numbers 0-10
biohack:th-en:number:00004	สี่	4	number	Listen for vowel length and the tone of each syllable; replay slowly, then imitate the whole number.	numbers 0-10
biohack:th-en:number:00005	ห้า	5	number	Listen for vowel length and the tone of each syllable; replay slowly, then imitate the whole number.	numbers 0-10
biohack:th-en:number:00006	หก	6	number	Listen for vowel length and the tone of each syllable; replay slowly, then imitate the whole number.	numbers 0-10
biohack:th-en:number:00007	เจ็ด	7	number	Listen for vowel length and the tone of each syllable; replay slowly, then imitate the whole number.	numbers 0-10
biohack:th-en:number:00008	แปด	8	number	Listen for vowel length and the tone of each syllable; replay slowly, then imitate the whole number.	numbers 0-10
biohack:th-en:number:00009	เก้า	9	number	Listen for vowel length and the tone of each syllable; replay slowly, then imitate the whole number.	numbers 0-10
biohack:th-en:number:00010	สิบ	10	number	Listen for vowel length and the tone of each syllable; replay slowly, then imitate the whole number.	numbers 0-10
biohack:th-en:number:00011	สิบเอ็ด	11	number	Listen for vowel length and the tone of each syllable; replay slowly, then imitate the whole number.	numbers 11-20
biohack:th-en:number:00012	สิบสอง	12	number	Listen for vowel length and the tone of each syllable; replay slowly, then imitate the whole number.	numbers 11-20
biohack:th-en:number:00013	สิบสาม	13	number	Listen for vowel length and the tone of each syllable; replay slowly, then imitate the whole number.	numbers 11-20
biohack:th-en:number:00014	สิบสี่	14	number	Listen for vowel length and the tone of each syllable; replay slowly, then imitate the whole number.	numbers 11-20
biohack:th-en:number:00015	สิบห้า	15	number	Listen for vowel length and the tone of each syllable; replay slowly, then imitate the whole number.	numbers 11-20
biohack:th-en:number:00016	สิบหก	16	number	Listen for vowel length and the tone of each syllable; replay slowly, then imitate the whole number.	numbers 11-20
biohack:th-en:number:00017	สิบเจ็ด	17	number	Listen for vowel length and the tone of each syllable; replay slowly, then imitate the whole number.	numbers 11-20
biohack:th-en:number:00018	สิบแปด	18	number	Listen for vowel length and the tone of each syllable; replay slowly, then imitate the whole number.	numbers 11-20
biohack:th-en:number:00019	สิบเก้า	19	number	Listen for vowel length and the tone of each syllable; replay slowly, then imitate the whole number.	numbers 11-20
biohack:th-en:number:00020	ยี่สิบ	20	number	Listen for vowel length and the tone of each syllable; replay slowly, then imitate the whole number.	numbers 11-20
biohack:th-en:number:00021	ยี่สิบเอ็ด	21	number	Listen for vowel length and the tone of each syllable; replay slowly, then imitate the whole number.	numbers compounds
biohack:th-en:number:00022	ยี่สิบสอง	22	number	Listen for vowel length and the tone of each syllable; replay slowly, then imitate the whole number.	numbers compounds
biohack:th-en:number:00023	ยี่สิบสาม	23	number	Listen for vowel length and the tone of each syllable; replay slowly, then imitate the whole number.	numbers compounds
biohack:th-en:number:00024	ยี่สิบสี่	24	number	Listen for vowel length and the tone of each syllable; replay slowly, then imitate the whole number.	numbers compounds
biohack:th-en:number:00025	ยี่สิบห้า	25	number	Listen for vowel length and the tone of each syllable; replay slowly, then imitate the whole number.	numbers compounds
biohack:th-en:number:00026	ยี่สิบหก	26	number	Listen for vowel length and the tone of each syllable; replay slowly, then imitate the whole number.	numbers compounds
biohack:th-en:number:00027	ยี่สิบเจ็ด	27	number	Listen for vowel length and the tone of each syllable; replay slowly, then imitate the whole number.	numbers compounds
biohack:th-en:number:00028	ยี่สิบแปด	28	number	Listen for vowel length and the tone of each syllable; replay slowly, then imitate the whole number.	numbers compounds
biohack:th-en:number:00029	ยี่สิบเก้า	29	number	Listen for vowel length and the tone of each syllable; replay slowly, then imitate the whole number.	numbers compounds
biohack:th-en:number:00030	สามสิบ	30	number	Listen for vowel length and the tone of each syllable; replay slowly, then imitate the whole number.	numbers compounds
biohack:th-en:number:00031	สามสิบเอ็ด	31	number	Listen for vowel length and the tone of each syllable; replay slowly, then imitate the whole number.	numbers compounds
biohack:th-en:number:00032	สามสิบสอง	32	number	Listen for vowel length and the tone of each syllable; replay slowly, then imitate the whole number.	numbers compounds
biohack:th-en:number:00033	สามสิบสาม	33	number	Listen for vowel length and the tone of each syllable; replay slowly, then imitate the whole number.	numbers compounds
biohack:th-en:number:00034	สามสิบสี่	34	number	Listen for vowel length and the tone of each syllable; replay slowly, then imitate the whole number.	numbers compounds
biohack:th-en:number:00035	สามสิบห้า	35	number	Listen for vowel length and the tone of each syllable; replay slowly, then imitate the whole number.	numbers compounds
biohack:th-en:number:00036	สามสิบหก	36	number	Listen for vowel length and the tone of each syllable; replay slowly, then imitate the whole number.	numbers compounds
biohack:th-en:number:00037	สามสิบเจ็ด	37	number	Listen for vowel length and the tone of each syllable; replay slowly, then imitate the whole number.	numbers compounds
biohack:th-en:number:00038	สามสิบแปด	38	number	Listen for vowel length and the tone of each syllable; replay slowly, then imitate the whole number.	numbers compounds
biohack:th-en:number:00039	สามสิบเก้า	39	number	Listen for vowel length and the tone of each syllable; replay slowly, then imitate the whole number.	numbers compounds
biohack:th-en:number:00040	สี่สิบ	40	number	Listen for vowel length and the tone of each syllable; replay slowly, then imitate the whole number.	numbers compounds
biohack:th-en:number:00041	สี่สิบเอ็ด	41	number	Listen for vowel length and the tone of each syllable; replay slowly, then imitate the whole number.	numbers compounds
biohack:th-en:number:00042	สี่สิบสอง	42	number	Listen for vowel length and the tone of each syllable; replay slowly, then imitate the whole number.	numbers compounds
biohack:th-en:number:00043	สี่สิบสาม	43	number	Listen for vowel length and the tone of each syllable; replay slowly, then imitate the whole number.	numbers compounds
biohack:th-en:number:00044	สี่สิบสี่	44	number	Listen for vowel length and the tone of each syllable; replay slowly, then imitate the whole number.	numbers compounds
biohack:th-en:number:00045	สี่สิบห้า	45	number	Listen for vowel length and the tone of each syllable; replay slowly, then imitate the whole number.	numbers compounds
biohack:th-en:number:00046	สี่สิบหก	46	number	Listen for vowel length and the tone of each syllable; replay slowly, then imitate the whole number.	numbers compounds
biohack:th-en:number:00047	สี่สิบเจ็ด	47	number	Listen for vowel length and the tone of each syllable; replay slowly, then imitate the whole number.	numbers compounds
biohack:th-en:number:00048	สี่สิบแปด	48	number	Listen for vowel length and the tone of each syllable; replay slowly, then imitate the whole number.	numbers compounds
